epoch,total,pde,phi,pi,bc,lambda_phi,lambda_pi,lambda_bc
1,1.0667694008789967,0.05464005935075263,1.0121268488693134,2.3213737141476132e-08,2.4694451935551056e-05,0.19,9.1,0.010899999999999998
1000,0.011465101884632244,0.0033074350003241665,0.013359911687649292,7.748403729312716e-05,0.0008094420819352579,5.8667008782735754,10.0,0.001
2000,0.015824648782980715,0.00452728807548871,0.0034602231433565125,7.487012795619544e-05,0.0004440762636253344,2.462892190523536,10.0,0.001
3000,0.0038443749373110784,0.0020936000011662096,0.002016569113610884,1.2177414737978437e-05,0.0029238374387535963,0.9731133808471472,10.0,0.001
4000,0.0033442451137554014,0.002301839681713842,0.0008649941226249352,2.6791214620654702e-05,0.005679609336633505,0.6135714583779953,10.0,0.001
5000,0.0015614336827732076,0.0010317883267480098,0.0008303645299265337,1.718095303291193e-05,6.215830595424935e-05,0.46618751665253116,10.0,0.001
6000,0.0017293152874408612,0.0007948838555060218,6.631014695908843e-05,8.633073724421653e-05,4.2765696836603314e-05,1.8215098961098217,10.0,0.001
7000,0.0008436911195586909,0.0006638467040140251,1.5552360889349786e-05,1.5036933477492552e-05,3.216833512488814e-05,1.5286266720647879,10.0,0.001
8000,0.0010120745658915883,0.0004218339091184264,2.105290967672802e-05,5.593021349495627e-05,3.7268712658482984e-05,1.6098647123103242,10.0,0.001
9000,0.0003490066827421524,0.0003106856979193305,1.1225490035183723e-05,2.958481601109555e-06,2.2384352871747465e-05,4.838837637817275,10.0,0.001
10000,0.0005307725758950455,0.0003199301497058424,6.941326052464309e-05,9.73808299413094e-06,4.135311966264869e-05,3.090273825884446,10.0,0.001
11000,0.0011155961212955695,0.0004541206675434628,0.0009065848393221878,2.098318216250305e-05,0.00016319132989676987,0.6046746741978903,10.0,0.001
12000,0.000313667745011338,0.00020758163249791318,3.561906201490269e-05,4.0276798744087155e-06,3.4742146382443805e-05,0.6815339801277505,9.999999999999613,0.001
13000,0.00013987063070392938,8.764953885869174e-05,3.4255227173847687e-06,4.460994847508048e-06,5.396249287694425e-05,2.855668028694889,10.0,0.001
14000,0.00013215832073362315,8.419222025457708e-05,3.2491158880773345e-06,3.54615446365698e-06,4.1061896749115996e-05,0.841881238864811,10.0,0.001
15000,0.00012146378343054804,7.801542049606737e-05,1.4704960679767809e-05,3.877396340036142e-06,4.300356222039312e-05,0.9055071855831323,10.0,0.001
16000,0.00022553391792556042,0.00010349299870650379,1.8613307864027728e-05,8.985640174238772e-06,2.514166631726085e-05,3.023019002883174,10.0,0.001
17000,0.012121770995505668,0.006190628848075836,0.0038508956870168245,0.00029950220375938186,0.00035291390967024283,0.6195625794315183,10.0,0.001
18000,9.625590692501567e-05,7.211608409567668e-05,1.2026874121186469e-06,2.253221494882229e-06,4.6361979671142446e-05,1.6650427308922455,10.0,0.001
19000,8.250334858436056e-05,3.803376900944276e-05,9.962490264592162e-07,4.351668431237542e-06,3.484285531766212e-05,1.0566521990823723,10.0,0.001
20000,6.053674141035401e-05,5.6050087487142226e-05,8.952390233174883e-07,2.1970680245963996e-07,4.697885247641858e-05,5.294469213990799,10.0,0.001
21000,0.0007426858997725029,0.0003997839210859551,0.0001504252446211655,8.56127738464358e-06,3.5437517559742154e-05,1.527987814331536,10.0,0.001
