epoch,total,pde,phi,pi,bc,gphi,gpi,lambda_phi,lambda_pi,lambda_bc,lambda_gphi,lambda_gpi
1,0.5886474290088405,0.020801277872593133,0.35010363123022836,0.00391180075649399,1.8102813675568694,0.3276429828743887,0.00038284106399207724,0.2586196704191469,9.1,0.0441864804533046,0.91,0.91
1000,0.008525503757658686,0.0020767027962166366,3.154189311095271e-05,0.00018383460007551796,0.00025715480199599045,0.00032503738374977216,0.004627541953442471,1.2787123195616203,9.49978634838746,0.09910891089108911,1.0,0.49280395388609594
2000,0.002522943561089108,0.001409754683353014,0.00020783340929731264,3.51899423859629e-05,0.0005579739198850932,0.0002643357625416097,0.0005427413110392649,0.6129593861199644,9.722088182113357,0.099108999109,1.0,0.9586583895851082
3000,0.002602065397701551,0.0014770559588523852,0.00017676108186203725,9.615105674653144e-06,0.0022013938664587358,8.729848969927592e-05,9.169580807256015e-05,1.7740920763924646,10.0,0.09999991090000002,1.0,1.0
4000,0.0010456106307352787,0.0008611194138203363,9.895513690764475e-06,2.3973841100475057e-06,0.00010587540023840642,9.163930023766705e-05,4.5552666576944114e-05,3.3300178573230164,10.0,0.0991089108999109,1.0,1.0
5000,0.0013830001573412287,0.0005876097885898735,9.197992479521607e-05,4.997464772685865e-06,0.0004721099847605483,6.545922266114024e-05,0.00012091036074875316,2.4084316763181794,10.0,0.09999910899999992,1.0,1.0
6000,0.0008092845062303971,0.0004567554670235159,9.179424522670184e-05,3.402543304430195e-06,0.00046061208060938635,6.456875736983473e-05,2.808447214206847e-05,1.07972477734899,10.0,0.099109,1.0,1.0
7000,0.0008372310677635203,0.0004984102510939489,7.699710813169172e-06,1.1000254579036239e-05,6.103637435563292e-05,6.724250548301774e-05,0.00014981754774897788,4.623090217541696,9.999999999985562,0.0999910899910802,1.0,1.0
8000,0.0007680444720927975,0.00032090250427034854,1.6069789368120803e-05,8.717391954844164e-06,5.326144671006155e-06,0.00012252633609692313,0.00021771252089667733,2.1656324635756037,10.0,0.010890109801090087,1.0,1.0
9000,0.00048563819962379616,0.00030752968071780316,1.7522552613417475e-05,2.306173979734819e-06,5.6965431927671575e-05,9.570461838970151e-05,2.5135127257439327e-05,1.6844603970624894,10.0,0.0010989999999108902,1.0,1.0
