epoch,total,pde,phi,pi,bc,lambda_phi,lambda_pi,lambda_bc
1,0.588628922963815,0.02683249179788071,0.5188168972832157,6.808424986792309e-05,0.4291144963285064,0.19,9.1,0.09823769739370496
1000,0.019106667437852592,0.006062339838895314,0.008880474475356018,0.0005062472119734784,0.0019450352911521396,1.846587048021078,10.0,0.099999901000099
2000,0.01594784494552708,0.008768932152712954,0.0005551017911558409,3.698565010348894e-05,0.00030514275883941784,4.525806736999156,10.0,0.09999910890991982
3000,0.00329073783846907,0.0026597169635677233,0.0003229121036509564,1.8275073254265332e-05,0.0008891348023198334,1.4321513588278563,10.0,0.09999990198019804
4000,0.005894121943952853,0.003511671090989136,0.000502006934441016,0.00017728313070761935,0.0001265159186687918,3.140303967495697,9.999999999653738,0.09010008918910002
5000,0.0015753933577548052,0.0012418055654115272,7.152686875744805e-05,6.000855502693927e-06,5.434986638588165e-05,4.142443681396552,10.0,0.0999910891080199
6000,0.0014535491466449886,0.0009034184566865638,1.7260436652335323e-05,2.6650685508718397e-06,3.3900356012411504e-05,7.209370408972427,10.0,0.09108010989108992
7000,0.0016195689544259405,0.0009430490004208596,6.0356007680103626e-05,6.50046072683724e-05,7.39542280016453e-05,0.6962331180383736,10.0,0.0010008919891089903
8000,0.000823156828218216,0.0007078456015833229,4.138086272367761e-05,6.103722024762477e-06,8.791751320970815e-05,3.7975740011628667,10.0,0.09999108910899109
9000,0.02080648872776201,0.00597260604707536,0.0009278411585635979,0.0004394455954531461,0.0005224510501226143,7.410897277320393,9.999999905221607,0.009910980108910979
10000,0.0006987770755056919,0.000594408293390811,1.0699914331548913e-05,4.270903979044055e-06,5.722777793078426e-05,4.777249978895049,10.0,0.09991089999109001
11000,0.001717644203796087,0.0007459222030353307,6.398818840640195e-05,9.070325878570188e-05,0.00012431645705157125,1.521638951771843,9.960481117627424,0.0910008108901001
12000,0.008710618791410019,0.006867608894219713,0.00045601173825412795,6.433590523276302e-05,0.00046332590691166474,1.754169791496524,10.0,0.01089999417324528
13000,0.011770562207501969,0.0016373842832510348,0.0004983073069171793,0.0005335119212821274,0.0001395023872551044,18.93227110268255,9.999379156159954,0.00100989990109801
14000,0.000792925698252945,0.0004174338242403061,1.0987580540665872e-05,3.4648235484786657e-05,0.00011523844551879113,2.7358959510350886,10.0,0.09910891089019812
15000,0.00045320952430159687,0.00042111353040497827,2.419954476095161e-05,1.6636887054569381e-06,3.90710550888955e-05,0.3881647667606229,10.0,0.09010989999019803
16000,0.000606562483631655,0.0003873284428571454,4.585095650804943e-06,2.0779747103861034e-05,9.997316033136187e-06,0.9402693228029649,9.643354539318688,0.010810891089910889
17000,0.0005570086278405079,0.00038810185641413337,6.523742721606536e-06,9.958054942585446e-06,3.304091831315924e-05,6.327930784504361,10.0,0.09108999999019893
18000,0.000534009103658779,0.0003584008222811654,2.4020088551748942e-05,5.199399364003997e-06,3.481002956016779e-05,1.795015329509504,10.0,0.010008910891081088
19000,0.0003798611194094263,0.0003195315611197071,1.1431278591199248e-05,2.4806883443931337e-06,1.746694667057462e-05,1.5768336064693123,10.0,0.091089108999902
20000,0.004096725140555239,0.0012787035168254593,0.0005005326578895748,0.00011118377724111088,0.000366059909441629,7.620633242549572,10.0,0.00198901089100989
21000,0.0003425213260793037,0.0003341932073718661,1.8155895219729334e-06,7.036779826765759e-07,9.765420564803368e-06,5.430765832194116,10.0,0.001000989108901989
22000,0.00030235071751980307,0.00027770494958209377,1.4722347784353066e-06,1.6265268106640447e-06,4.5800305037326085e-06,3.1636041081497517,10.0,0.0010089100090089021
23000,0.00033329751025753016,0.0003126169936122422,2.184163289556954e-06,1.0737773738600728e-06,1.2895322511771649e-05,2.14653548522251,10.0,0.09999010989901991
24000,0.00037270306215071274,0.0003495692998506711,4.818035432502723e-07,1.5102498922104605e-06,4.113576986357075e-06,91.65761118531651,10.0,0.001989901900899108
25000,0.000419070464383377,0.00033701173794746444,8.219411953260304e-06,6.075720097527326e-06,3.985454585575175e-05,1.9232910243074364,10.0,0.09999108999019891
26000,0.0002516689071019802,0.00022588451223756487,1.006925122726617e-06,1.4068765867546094e-06,5.605933276843336e-06,6.133576487531814,10.0,0.09990991009810901
27000,0.00026062228256295346,0.00025040490431520895,2.3342291834478383e-06,6.261860386509391e-07,1.4566479257116261e-05,1.9677492265767311,10.0,0.09999999108910812
28000,0.0002823608643842079,0.00020448959309949142,1.0707040579078816e-06,7.419796243866669e-06,2.8345632614803807e-06,6.2409510749714565,7.5125391580214735,0.09019810891089992
29000,0.0003391477556090198,0.00021868511931179437,5.464407311358986e-07,1.1893924781825565e-05,2.2326483358172065e-06,2.4970448227776294,8.745654936782556,0.001000000989108911
30000,0.0002040423054846686,0.0001966939205091644,6.184213388661528e-07,2.537250107810424e-07,1.611279185230352e-05,25.69805366693708,10.0,0.09991089901000003
31000,0.00020563999651527072,0.0001987791206309769,5.631143907926787e-07,1.8657180248593249e-07,2.306470401784673e-06,8.012918854359093,10.0,0.09901990000000001
32000,0.00021887278571104584,0.00021240275537083345,1.1534390522598113e-06,3.933586091136823e-07,7.740494165714048e-06,4.403627668425164,10.0,0.0991089910899109
33000,0.000567266696653305,0.00021393555154544964,1.3443763332772721e-05,5.3984020658436886e-05,1.198046973929523e-05,0.9634179071067466,8.019742192960468,0.010890198910899106
34000,0.00017305435020633527,0.00016753305956083048,4.6784898986810367e-07,2.4728929290268895e-07,2.030284109299847e-06,5.6877494986897785,10.0,0.010891081089010088
35000,0.0001868609510962546,0.0001821631703790982,3.877347631598393e-07,2.70395759927275e-07,2.504967043053372e-06,21.22359698791928,10.0,0.091089108901892
36000,0.00015925899917680958,0.0001500036555555686,1.59630604732641e-06,7.001870896912148e-07,5.61352052815711e-06,3.1180995138155785,10.0,0.09019890991989012
37000,0.00014719915954976398,0.0001349817227423427,8.756272687409716e-07,9.006358433347296e-07,2.9374656670417447e-06,1.982382099556092,10.0,0.010891089019810897
38000,0.00014896667779819566,0.000133638598895131,1.5556850078116438e-06,5.214367103341318e-07,2.7309682001018443e-06,9.795623844768963,10.0,0.00100098990198901
39000,0.0001506463646967005,0.0001332208373048222,6.345506143109307e-07,3.7662766205367647e-07,3.81140484212704e-06,6.252872090722427,10.0,0.001000000000000891
40000,0.00017566360030001375,0.00011602633359550573,9.13718218240546e-06,6.934434227663181e-07,2.1231224359848586e-06,0.7824096754083932,10.0,0.0019801980109891088
41000,0.00010888979517998698,0.00010129434643404102,2.3729437392255574e-07,1.9098162092186376e-07,2.243895279908469e-06,8.739752658250111,10.0,0.0010900899108990199
42000,0.00010411084573225553,9.314552687885008e-05,8.553023613371607e-07,4.6596577842305867e-07,5.161437340522373e-06,13.76130029574655,10.0,0.099999999999011
43000,0.00012010482876643859,0.00011465597035081786,3.3360902208874135e-07,4.125254982724399e-07,2.8043462297619e-06,6.1677529280208905,10.0,0.09991089019899022
44000,0.00011476927478503026,9.517449949677168e-05,2.1988588749900003e-07,1.8666394584504098e-06,1.193908417304059e-06,10.712757825763958,10.0,0.010899019890109888
45000,0.00011548157000078326,8.624688838405256e-05,1.3052095326570513e-07,6.492736904487325e-06,8.702261347376074e-07,28.880740036190524,9.41346769678075,0.010899108901009898
46000,9.275842273174652e-05,8.972075664041604e-05,1.8712988510121963e-07,1.9980920096802715e-07,2.43939290724795e-06,6.785316929666034,10.0,0.09010891098901991
47000,7.636623751711568e-05,7.175961101251276e-05,4.1072279587717815e-07,1.7130487824963577e-07,3.887358090084968e-06,3.5135752543698273,10.0,0.0990189100980109
48000,7.010905210936296e-05,6.648005978453981e-05,1.929196313750889e-07,3.0003679213216974e-07,1.944197384712712e-06,3.2537834288419427,10.0,0.09108991089108912
49000,0.0001667053331080344,6.644382549188897e-05,5.527976782146848e-07,1.073769545015107e-05,3.930428469941391e-06,1.0274075162817906,4.248069744550854,0.09010989991090002
50000,5.8705247858001736e-05,5.4881253560469955e-05,1.2839425377446543e-07,3.377655126558603e-07,2.9254215093899235e-06,5.28468978838727,10.0,0.091089901989902
51000,7.335282649957477e-05,6.11652045668884e-05,1.3882523318426831e-05,4.359940774451181e-07,1.8031886349394375e-06,0.5373147271207342,10.0,0.0010000000098910901
