epoch,total,pde,phi,pi,bc,lambda_phi,lambda_pi,lambda_bc
1,1.4961394385267708,0.22705775467132414,0.8334906871109852,0.250610654975363,1.8498034176909848,0.4538996425363134,1.3157409171315795,0.1
1000,0.0013561794904912716,0.0012646151408677322,6.0384354179832364e-05,3.2647455411312246e-05,0.00014695367675938634,1.7664619667780836,2.666530893583397,0.001008910000000001
2000,0.0015011488763054662,0.0008612301964246095,0.0002308805988405677,0.00026825507032481564,0.0002831103418728601,1.0591761682471965,1.8566332261784528,0.001
3000,0.001121044520844441,0.000635634546601476,0.00020268687718167966,8.029707719359615e-05,7.67766812470371e-05,0.9745716389324516,2.089950692697614,0.010801009801098018
4000,0.0006601023049364588,0.0005628162473253905,0.0001222416306477052,2.5053975534689923e-05,9.61603684936592e-05,0.4887556463957632,3.918939298104285,0.0901000000098011
5000,0.001063778666895803,0.0005284035037309042,8.653154428810585e-05,0.00028472876904937305,9.025142271944918e-05,1.1351865758641577,1.169622435547346,0.001
6000,0.0007063559451066008,0.0005326046753255055,4.0372265815170106e-05,9.662524555755198e-05,9.430918677939609e-05,2.950663707405894,2.243654535776708,0.001
7000,0.0012877531192380864,0.00041886535396155184,2.065263451131708e-05,0.0001820383074630894,5.82477170514666e-05,2.6587479412997728,1.8059682959842231,0.0010000000891
8000,0.00039460621611204285,0.0002919162386009831,9.742029979313991e-06,3.0208889994724236e-05,3.177123974345163e-05,1.9744405246570553,1.9609379970718646,0.0010000000000000891
9000,0.0005676892820125987,0.00032320764971892205,1.0977266117783983e-05,0.0001656277543072977,3.4233636710591635e-05,2.456293895675851,0.8389930017255993,0.00100891009801
10000,0.0003596639514662416,0.0003066363712418575,1.6164120474883595e-05,7.340579154986299e-06,3.203069530921258e-05,1.6814945477085697,4.532397979572348,0.001
11000,0.0006338294479743826,0.0002743968511162898,3.951755898979722e-06,3.798279901716693e-05,2.036149619250774e-05,4.306524132798168,3.1968140503379114,0.0018918999109801093
12000,0.0002793007346428002,0.00023663174093932962,9.299922762249387e-06,9.852434121261628e-06,3.682301882805374e-05,1.134363165475575,3.2294327200352484,0.001
13000,0.00031275254013209147,0.00022187671177545433,1.0359908503906643e-05,1.200691258436239e-05,3.0708963568925175e-05,1.5425131276845077,4.526630994936057,0.001
14000,0.00026767051113170637,0.00020834752884438723,2.1353998082476547e-05,4.088790449252365e-06,1.728699674050124e-05,0.7925050912696868,5.0544447563386585,0.0018909999999999999
15000,0.0002902836571939264,0.00019143841205968552,5.646160767684421e-06,1.1119185981871093e-05,2.3669501678955532e-05,2.3410947787860676,3.3864981887938224,0.001
16000,0.0001977391777424648,0.00017109404499750474,6.096191675028709e-06,2.065173352683267e-06,2.6353754440123357e-05,3.260850450826121,9.085555126398862,0.001
17000,0.00019999102690310022,0.00016875319071386644,3.703807076113836e-06,4.4194710437067625e-06,1.4188891149780395e-05,3.1060917477814383,3.631075910364555,0.001
18000,0.00021704135391050942,0.00015916427163626052,2.164245616901684e-06,5.604496395533724e-06,2.642030762263582e-05,4.010730458779331,5.457502209595876,0.00100000000098011
19000,0.00016454867203408123,0.00013656654017660675,1.2456299804938307e-06,5.57747993704655e-06,1.7270954895785994e-05,6.337287045132506,6.694968220363022,0.001
20000,0.00014233875789442993,0.00012207195728850938,2.7204445579586283e-06,4.378578854937895e-06,1.225951438393822e-05,2.2375501553989348,5.955756534145915,0.00109801000891
21000,0.00017367443814343754,0.00011099238952907704,5.669480517877176e-06,6.219358370294191e-06,1.963913364421685e-05,1.687299495179857,4.102582428665711,0.001
22000,0.00014506737152767868,0.00010376720586263886,2.489438241490112e-06,7.469564631161442e-06,1.4943373492335311e-05,3.315072486011332,3.919533094638314,0.00100089100891
23000,0.00012195356338608526,9.68309289285907e-05,1.221144177427394e-06,1.9763747054884385e-06,1.655674032235652e-05,5.050570153049688,3.582477880575879,0.001
24000,9.647520986293003e-05,8.85922456857886e-05,9.935068925202164e-07,1.0511195185928465e-06,9.151123712188359e-06,4.1453650011441034,9.212285461074936,0.001090089010980199
25000,0.00013539335790038376,8.478862037488215e-05,1.6960234939047743e-05,1.7700859622135214e-06,1.8271692988842246e-05,0.8236978697958401,5.219245199457969,0.001
26000,9.057445203428101e-05,7.232854763569366e-05,6.626564420951383e-07,2.8626234603584778e-06,1.1195861351982497e-05,4.175682362132945,3.750236313582114,0.001
27000,0.0001603724660016767,6.697890736440646e-05,2.28042295501085e-06,1.569848318206211e-05,7.734828248644586e-06,1.745363001784686,1.9648032762997687,0.001000000000000009
28000,6.226546514736185e-05,5.826652444422451e-05,4.3859525938778797e-07,6.65181714940128e-07,5.520970499487026e-06,3.6491806772170476,5.575993070870559,0.001
29000,9.316156945648278e-05,5.272233343779986e-05,1.3369517911246218e-06,4.7331154914821735e-06,1.0301727675486956e-05,2.2390300838689563,3.656719797811541,0.001
30000,5.785893406888811e-05,4.6072802722461366e-05,1.5428347681033158e-06,4.522482353271212e-07,7.379018280113771e-06,1.6829871877003781,7.59205229987724,0.001
31000,6.544851017520858e-05,5.0670839278081306e-05,2.044647135205692e-06,2.838437263006242e-06,8.094287027159128e-06,1.961061477022276,4.3923518107360495,0.001
