epoch,total,pde,phi,pi,bc,lambda_phi,lambda_pi,lambda_bc
1,0.5558448466150024,0.020801277872593133,0.35010363123022836,0.00391180075649399,1.8102813675568694,0.2586196704191469,9.1,0.04418647224136468
1000,0.008304290590095516,0.0015597847535826206,0.0031013615744846902,7.1301257295057e-05,0.0019816193116696276,0.7428401686984001,10.0,0.09901900899999021
2000,0.004293910529107003,0.0014715938903885218,0.0009715877149971647,0.0002304990696933821,0.0002964523447298569,1.0258612963924905,6.976332957762643,0.09108999999999912
3000,0.0013849747786072975,0.000634007044323063,4.389461559431075e-05,6.969438523431992e-05,1.882266142370992e-05,2.0442703472439394,10.0,0.0019810899999108994
4000,0.004736480187491229,0.002269204803928593,0.003401019943545123,0.00019308177486040672,0.001381948972349538,0.2589818736917524,9.41071331657155,0.0999999108019811
5000,0.003533925289613356,0.000690204500665795,0.00021922821673885334,4.405251154107667e-05,6.947615949415589e-05,2.2801521976237793,9.999999996985451,0.001009008108109
6000,0.000408905804147718,0.0002704414828723436,7.196294829422809e-06,8.741781022150567e-06,2.993394890259424e-05,2.3986873119665337,10.0,0.09108991080190001
7000,0.0003413801046859798,0.0002674287377847826,9.418264301697912e-06,5.872336111438218e-06,3.090833241808805e-05,8.767063479870599,9.840979763573587,0.09991089019899992
8000,0.0011470079936470336,0.0005772467920044265,7.431707649554525e-05,1.7474648674509485e-05,0.00024269895267260079,5.414527028800835,10.0,0.09999991089999992
9000,0.001108516015796008,0.0005470272887972685,7.014563919446929e-05,2.268499801533507e-05,0.00020941703390686317,8.077678746069385,10.0,0.0010098108910801002
10000,0.00028951762492442307,0.0002061784744235078,1.2347589806553842e-05,2.2163805440470804e-06,2.1115444623742006e-05,3.5953612923328375,10.0,0.0991080190089999
11000,0.0004633985233112253,0.0002512084877722187,9.985525046598873e-05,7.919560900999265e-06,0.0003811517683796245,0.6004203812008493,9.997988545753692,0.09999910899910901
12000,0.00026069151161948627,0.00015094694751995624,1.0907964117582628e-05,6.102528327715203e-06,6.710701988084871e-05,3.190013847338395,10.0,0.0910810899910811
13000,0.0001039649355740801,8.749265794022023e-05,4.985391635670142e-06,9.371399935409383e-07,7.130337912659006e-06,2.4938146989567835,10.0,0.010810810810008998
14000,0.00013402542845651903,9.570857476041365e-05,6.169443631792308e-06,1.475080087379833e-06,8.034187257423422e-06,2.9579016891558916,10.0,0.0019008999991089108
15000,0.00010120876959379348,6.0679609080318014e-05,1.1631070731997254e-05,5.337338178621875e-07,4.601432027212995e-05,1.018508160609195,10.0,0.09910810899991082
16000,5.155301811979216e-05,4.1457026491292686e-05,4.0424740822861765e-06,6.759690367484315e-07,2.0510613683225753e-06,1.014973387241484,10.0,0.09108999019810901
17000,0.0001598980192039903,0.0001159440405551274,6.7374582341953175e-06,1.9314035347025666e-06,1.733003651614162e-05,3.8138568920102522,10.0,0.010801989990198107
18000,0.0001669734380598644,9.713180192878498e-05,9.8980809479898e-06,1.5832063394338085e-06,2.6705476560600257e-05,2.3504487093113045,10.0,0.01089999910899109
19000,0.0012657699499078125,0.0006305416149902902,0.0002016484175922431,2.795220224989525e-05,3.966204411154118e-05,2.4260008195507208,9.999999999999904,0.001
20000,9.200882528078383e-05,5.918193488264111e-05,2.515543050488339e-06,2.024413603567568e-06,0.00010122440982938524,9.096954019113408,10.0,0.09910891090000001
21000,5.48530855070127e-05,2.4850896685388587e-05,2.8925921735045796e-06,2.54812116127771e-06,2.180318291799504e-06,2.7052302009070615,9.99999998663133,0.0010900899910899998
22000,8.344163592254419e-05,5.85928212807387e-05,2.5381210645336685e-06,7.294939021433678e-07,1.7327208847689236e-05,2.7906517388532146,10.0,0.09999019810810901
23000,0.00023054340718939293,0.00015045225042722434,5.249615296258884e-05,3.229570320537271e-06,7.294163550753412e-05,2.0043581815062934,10.0,0.010899999990199
24000,3.873259846226079e-05,2.277773914566273e-05,1.5538601390279218e-06,8.06160504719427e-07,5.458711691872012e-06,3.4927120450384503,10.0,0.0108108999991089
25000,0.0004969858456009555,0.00012242136092954705,0.0001451186743074131,4.662044209267902e-06,0.0003596677218710378,0.7548059683282886,10.0,0.09910810899109002
26000,2.81098161891211e-05,1.8060811983177507e-05,3.2232231959151703e-06,6.871574867012862e-07,7.071689082318517e-06,2.78781839484561,10.0,0.0010098108010099
27000,3.6992827545359266e-05,2.774726058548989e-05,1.22707895000212e-06,3.02827922656525e-07,5.126219556139041e-07,2.1564845587059605,10.0,0.0019810899999999996
