epoch,total,pde,phi,pi,bc,lambda_phi,lambda_pi,lambda_bc
1,0.7562066703753799,0.33708809492360475,0.05817526783404561,0.059040233178502044,0.3019030744392275,28.564902264528175,9.1,0.10089999999999998
1000,0.010022054221963849,0.006123180833926952,3.754403034644935e-05,1.427245234617934e-05,0.0017458299301695498,100.0,10.0,0.001
2000,0.002388450043503976,0.001542255473438138,8.309595102304242e-06,1.399324550533283e-06,0.0012418143300805724,100.0,10.0,0.001
3000,0.002001520287053551,0.001379980883082973,6.016516616175899e-06,1.9273256513337167e-06,0.0006144858396507654,100.0,10.0,0.001
4000,0.002520962137713528,0.0020799219571212787,3.587368540209226e-06,8.181548409029767e-06,0.00048784248102913075,100.0,10.0,0.001
5000,0.0015394059110674836,0.001133568898593269,4.039863133746583e-06,1.412255359683283e-07,0.0004384437398729646,100.0,10.0,0.001
6000,0.0025716462670084773,0.0016962259525630716,8.519020011791767e-06,2.381071005134537e-06,0.00038026416248687644,99.99210401024212,10.0,0.001
7000,0.0019337682192018528,0.0015833755177200074,3.466150120344866e-06,3.407579200346779e-07,0.00037011024701195515,100.0,10.0,0.001
8000,0.010091736917508264,0.006424711175508498,2.9525234717169725e-05,7.136439114571912e-05,0.0008584248657982612,99.99999977632626,10.0,0.001
9000,0.001457190715004356,0.0009932822220466663,4.5987371051047915e-06,3.654031715938322e-07,0.0003807507312743847,99.99999999999994,10.0,0.001
10000,0.0014647255578488238,0.0008925109480838604,5.462651932863961e-06,2.6250621167738513e-06,0.0002728790825470632,99.98949074957046,10.0,0.001
11000,0.001109437946203285,0.0009394849702089178,1.4626008037547077e-06,2.3461257492287497e-06,0.000231638126608859,100.0,10.0,0.001
12000,0.0008715150149251653,0.0007798517875599656,6.859357389197712e-07,2.2856389426993026e-06,0.00021326404622939673,100.0,10.0,0.001
13000,0.000998686650911749,0.0008606388699842135,1.3479016743337975e-06,3.0645573580328464e-07,0.00021538571307879253,99.99834338235635,10.0,0.001
14000,0.0008658676388836249,0.0007481404698808054,8.440554374862484e-07,3.3171743148995765e-06,0.00014988210519900614,100.0,10.0,0.001
15000,0.0007668673745946962,0.0006608358735994238,1.004400387439282e-06,5.448239641347407e-07,0.00014322260999674596,100.0,10.0,0.001
