epoch,total,pde,phi,pi,bc,lambda_phi,lambda_pi,lambda_bc
1,0.05459236053916553,0.006988955885025535,0.04308074527661311,6.937249432202664e-05,0.044532868832048586,7.604431646495778,9.1,0.1
1000,0.1969955637279569,0.061025536052871754,0.003647284930497778,4.0806216147481636e-05,0.0009942914842130497,14.130706253829857,10.0,0.0010000000000009801
2000,0.007053771915366877,0.003031334114744418,0.0017557410739336234,0.00027542490346185326,0.0001428537578166528,1.0417147947857928,5.771345432122314,0.0999999999999911
3000,0.011703864676717118,0.0022127816909253426,0.0014312529784233298,4.473533381294327e-06,2.5451104744875677e-05,17.907588584239665,9.999999997843627,0.001008919899099109
4000,0.006389728187977511,0.00199534912543233,0.001814258113846432,0.00024972560056138113,0.003394142525890604,1.168961201403155,9.929252116825968,0.09999108999999992
5000,0.0039245115683505215,0.0013295716157419712,0.0010272889968099565,7.89395316439764e-05,1.0373507158456262e-05,3.0225231919267777,2.069231505121514,0.09999991089108992
6000,0.008200529433220633,0.0014136304775488563,0.0005992267057309197,2.2515621354141188e-05,7.304467621112395e-06,7.226265504536508,3.924580319298637,0.0991089018910901
7000,0.0018422159360146069,0.0015010472338099806,0.00028931574641519317,1.2803022296560458e-05,5.1267901477437555e-05,1.790439866881654,4.7747736952710085,0.09999999108910901
8000,0.0019782777542473144,0.0013380770960094062,0.00019808263737077436,7.595618139184595e-05,1.4147337542787607e-05,3.200770603233753,2.3147808318215937,0.09999999901098992
9000,0.001613019923179854,0.001092538416240189,0.00010377275443589404,6.194078903321892e-05,5.599005712292892e-06,4.151029955370227,2.5967081155058502,0.010890190492047546
10000,0.0013913105022147873,0.0011273622360183223,6.820697328586511e-05,2.2497329180195267e-05,6.357166601216996e-06,0.954895821985379,3.4633339478985095,0.09999910801090083
11000,0.003391527284351025,0.0013371475035966526,0.00019628212233348063,0.00019504134896992717,0.00044429093168100927,2.544352622165974,5.896332745569718,0.09991089910899101
12000,0.0008479375145075897,0.0007234768475887507,5.087362055435476e-05,9.328014169373746e-06,4.897827631740696e-06,2.469672469296434,6.098999952607589,0.010890109891089999
13000,0.000784653599201765,0.0007041232575613745,5.104126623583485e-05,2.1528409065122322e-05,9.23501003577134e-06,4.8960704835960165,5.540772549770758,0.09999999108991083
14000,0.0008561841333001896,0.0006915929993538209,3.087185849371345e-05,5.036419636046865e-06,5.856753284658929e-06,5.593993401449614,7.580872739753367,0.099108010098109
15000,0.000686108671673694,0.0005690935676662286,2.544280535683826e-05,4.2409803733456945e-05,1.9270805848319626e-05,1.3631572527254372,2.2262914345150007,0.0910899019801901
16000,0.00113464846977383,0.0008977753383508898,0.00011728496919141122,2.2786692099608664e-05,0.00023664347886292943,1.353867003595255,9.4241151901435,0.0999108999999109
17000,0.0005765690682754856,0.0005280064296187529,2.471284687979334e-05,4.205191099788536e-06,7.039397160911666e-06,2.267909255911671,8.921903164742394,0.099100000009
18000,0.0005806532219834949,0.0005080140784032056,1.3771658977197948e-05,1.6251779481044978e-06,3.056636421348197e-06,3.4661054258197734,9.999999999999963,0.01081089999999991
19000,0.000524800986154957,0.0004658352978583883,1.288357216619883e-05,1.8063344970622909e-06,4.241509257471091e-06,9.347600933536308,9.54999846743624,0.09909910990000001
20000,0.0004809583188990795,0.0004319231860903255,9.809156522191855e-06,1.1358279130414747e-06,2.9166822863503954e-06,49.50767866601746,9.999997137615624,0.0010098901900008992
21000,0.0004545169331483256,0.000413496428756724,9.901519885314959e-06,1.2025241966696084e-06,2.4489625900379054e-06,4.320243408533192,9.999999865924,0.01089108010981081
