epoch,total,pde,phi,pi,bc,lambda_phi,lambda_pi,lambda_bc
1,0.8258923462609438,0.027214201037957717,0.6031935513311064,0.017010343154007308,1.7847425073787235,0.19,2.147522924500592,0.07235291576072826
1000,0.0600730334376071,0.012546502738080967,0.005595362674507316,0.0009171528707203156,0.005937018751594657,6.205754093924977,10.0,0.00100000000000891
2000,0.007809348246802913,0.005623519175382095,1.4148732881474394e-05,8.723978572806098e-05,0.0011025082467167565,99.27523840394065,10.0,0.001
3000,0.3125669391448288,0.11190681755366781,0.009203548190862653,0.0024160423912895517,0.0014413522659801994,15.151687762669331,10.0,0.001
4000,0.008077398850608932,0.004746570585820011,2.2729679475090137e-05,0.00011661449465117011,0.0012018666853385353,99.51831042739903,10.0,0.001
5000,0.0031203402300295532,0.002009607349369707,2.0718224769084357e-06,9.035717786056637e-05,0.0004641115079120952,50.222782515192414,10.0,0.001
6000,0.014159223367653686,0.004217033465006415,0.0001416730468512832,0.000338351398041944,0.001378381126292078,30.171175766097303,10.0,0.001
7000,0.004603856975028486,0.003271718744940656,2.028715852101825e-05,7.218918437094653e-05,0.0001454504437718178,93.00732571938306,10.0,0.001
8000,0.007167953488839183,0.004670550650697961,1.6442711759390432e-05,8.528775968309573e-05,0.0002540653741737579,99.99999999998204,10.0,0.001
9000,0.047894502248231094,0.004889406565576985,0.0003897132043148619,0.00047751974262484387,0.0003225766961235104,28.871213312084492,9.999999999999972,0.001
10000,0.0027803290188034417,0.002399040318762702,2.9099214463629553e-06,9.015764109673166e-06,0.0001389143077127206,100.0,10.0,0.001
11000,0.0020227598847302065,0.001492550222015874,3.597625497444583e-06,1.8798638161212813e-05,0.0002529618542645281,61.695762378053395,10.0,0.001
12000,0.010558352935424342,0.0032365668624288503,4.632766390049934e-05,0.00026922928180353353,0.0004159775006013925,99.99204108822119,9.999999281396383,0.001
13000,0.0033754194310580805,0.002666108959588696,7.616138009901231e-06,1.1079800935066955e-05,0.0003042138680155036,97.85448277687469,10.0,0.001
14000,0.003242510709820445,0.001775329937920007,1.1464724953783288e-05,4.0279701102235924e-05,9.980763048048632e-05,46.401059181963774,10.0,0.001
15000,0.0017088728964405066,0.0012768444706502966,2.9173923989268984e-06,1.4023210604702034e-05,5.790480609971515e-05,99.99997172284398,10.0,0.001
16000,0.0021387415378627743,0.0016632827939996112,3.806797147053541e-06,2.5979855618362334e-05,4.013354113493884e-05,95.66408048049776,10.0,0.001
17000,0.004050042585119372,0.003281861651214871,1.8313147855618256e-06,5.846686037430971e-05,0.0003808516052209976,100.0,10.0,0.001
