epoch,total,pde,phi,pi,bc,lambda_phi,lambda_pi,lambda_bc
1,0.5940093858892979,0.027075995640508853,0.5236040056697356,6.886329688565752e-05,0.43260521282167574,0.19,9.1,0.09851068789633959
1000,0.08503419827861544,0.012366094432163313,0.0015153251405124954,0.00034872324604002066,0.0020315260107467295,9.859848550826952,10.0,0.001
2000,0.014926207820012574,0.004501604762030276,0.0015492318581382752,0.0005438627389482875,0.0007217700414144019,3.597952710309159,9.996623304647535,0.0010891
3000,0.003227939970259812,0.0021903476878923998,0.00010210610092221483,2.5927460341894525e-05,0.0001916717210530445,22.138297381610588,9.999999963717247,0.0990100000009801
4000,0.0025079216281103053,0.0014393392239574515,4.432049168347783e-05,0.00010024561717052008,7.906222228521081e-05,3.898873920436375,9.973780173432441,0.001098901981089109
5000,0.00473859172637956,0.001407318499171264,0.0002602505247440008,0.00023510731728224895,0.0001933604276324261,1.090109570385509,6.148762221942465,0.09010000000891011
6000,0.0019609240093830366,0.0006028987259183261,2.5762414923111828e-05,0.00013616001104152208,0.00011545246021316545,1.7393603119112748,5.638477173042552,0.09991089910890993
7000,0.0031714554626543173,0.0020515345906105585,0.00021223497968981368,8.640355719329455e-05,3.4259362534514384e-05,7.135096163469739,9.7404124723693,0.010890109891089019
8000,0.0012456889821773542,0.0006695269317506001,2.3891083792317227e-05,5.058910476151973e-05,0.00010108835306790958,13.974635967381225,9.999864625304708,0.0990100000891
9000,0.0007242246763314848,0.00043495664294674404,1.3226826839033927e-05,1.789452672179549e-05,2.396220377960205e-05,10.115449235989109,9.130468871189326,0.0910899999999911
10000,0.0053344912790617045,0.0011767490261744048,0.000184606503684915,0.00031182588757129977,6.730842598452909e-05,6.798115139898108,9.930943808501286,0.001008919890109801
11000,0.0019566526685978348,0.0007667606769194542,0.0002204497146717481,9.111608137900358e-05,0.0001913910383819401,1.6683385948741238,10.0,0.010891089108901988
12000,0.00028665871749110247,0.00025680574265757046,7.4740600428969035e-06,1.258084097088584e-06,5.939081072271421e-05,0.9758139558981047,9.999347196686857,0.099108991000802
13000,0.00024780458100973117,0.00021350144261206625,7.309722047936218e-06,1.3645071113356606e-06,2.7556506817434132e-05,5.2785898293799445,10.0,0.099910891089011
14000,0.0006746700530368067,0.00018922109487631893,2.8565717264983006e-06,7.599315431837929e-05,1.7517161768755477e-05,3.1663783788628845,5.180632169042732,0.00100000891000001
15000,0.00021832317274584777,0.00016962138581706797,1.4885347711455442e-06,5.232426138185793e-07,1.0200018223457832e-05,5.307469374756265,10.0,0.0991080198019811
16000,0.0008043670296696292,0.00020033162013897778,6.041546153402703e-06,9.816671172914905e-05,1.9048430074447905e-05,2.980219806972233,9.602940024895009,0.00100009890198902
17000,0.00016544774854569422,0.0001460662780458931,1.4742755175558112e-06,4.2719841628230765e-07,1.808537348351539e-05,9.635620746679008,9.999999999999991,0.0990109890109811
18000,0.0008931326459811829,0.0001988096763868617,3.2435557443491285e-06,0.0002090711320060484,1.5037312986753717e-05,4.291936187564705,4.69478370477297,0.09901980108910001
19000,0.00012846750451565929,0.00011500446494635399,2.7276091469119977e-06,6.594699305623149e-07,4.749725999009027e-06,1.984773614906696,10.0,0.010890109801009889
20000,0.0013688442318554052,9.419356609629458e-05,1.956256057641728e-06,0.000160967837694255,8.547033611468766e-06,5.946015780449567,2.5488603847121665,0.09901981089019893
21000,0.00011866177692767587,8.659271411428894e-05,1.8843857957672737e-06,2.3227676333066296e-06,2.2829804733571932e-05,1.4834957151212362,9.999999730545513,0.09990198901009802
22000,0.0002728773336181316,0.00021306415111968315,1.8996411671799527e-06,4.208546755211446e-06,7.89366933628104e-05,11.253643038421432,10.0,0.0991089991089109
23000,0.00018696078323249797,3.530683451689182e-05,7.847863699126303e-07,2.9828718281977635e-05,4.814725365832588e-06,2.5466900101171728,3.170087123374641,0.09991089990190091
24000,6.561327587155121e-05,4.46986843216809e-05,7.058956295410628e-07,1.5923769933653408e-06,1.467591442368758e-05,6.6668036965745685,9.999999999999897,0.09991089018910893
25000,0.00030885210080436624,0.00011093072792972984,2.9599763219521798e-05,6.766176164603434e-06,3.2852848041093176e-05,3.316746329844111,9.99999999999999,0.009910000891981078
26000,8.613756341643821e-05,2.5088903310944383e-05,5.028756979529728e-07,3.2609725847409446e-05,4.734166358684398e-06,4.520275405230288,2.389293138508397,0.099018919810009
27000,0.0018378576862513871,0.0007581801286823038,4.735607678030339e-05,8.58195660517868e-05,3.478005026029346e-05,2.0398888830412165,9.991527228853,0.0018910000098010088
28000,2.630150450554658e-05,2.2054911732305426e-05,7.974426286638481e-07,1.9611079562681497e-07,6.208489341470633e-06,9.033248559047022,10.0,0.09910899910899912
29000,4.8086862630590305e-05,2.4931657942900824e-05,1.8257876633050407e-06,1.7842244869432348e-06,4.793566490538731e-06,2.2497404997981887,9.999999999858613,0.001008910098108901
30000,3.410999197013291e-05,2.099002019342608e-05,1.1004572608519555e-06,9.244646453547798e-07,3.180585094022759e-06,3.0104561254963995,10.0,0.0010000000000089189
31000,8.933113077136892e-05,2.0361673337789392e-05,8.990841132137622e-07,6.282422531146083e-06,1.5464149154496787e-06,6.629976183740585,9.670416842785515,0.001098108901980198
32000,2.2489107424530745e-05,1.4755277521717738e-05,2.3574004014080444e-07,6.298862358700368e-07,1.140705093651688e-06,6.580920898580156,10.0,0.0010981081080100891
33000,2.052495710633567e-05,1.7506095785666337e-05,4.784570788467855e-07,1.1284784173505086e-07,1.0963635828430439e-05,4.095298771346354,10.0,0.09910801009801982
34000,2.1293346659297155e-05,1.5201214257306828e-05,4.2416413521138493e-07,3.3931601846303046e-07,2.6442468889819804e-06,3.4434066512500277,9.998290638309852,0.09999999999108992
35000,0.0005175579969775131,0.00016694947961944944,5.604097822171014e-06,3.294680655180999e-05,3.5381413570727875e-05,13.940581345698915,9.9997521979315,0.01000801980100001
36000,3.504687585019338e-05,1.784725505221733e-05,5.9758269358594365e-06,1.1187369114724129e-06,7.5055023418492025e-06,0.742880700594514,10.0,0.09990109008010001
37000,3.874635047244845e-05,2.367663222186179e-05,9.786203327982086e-07,3.983036060297667e-06,4.05326186208919e-06,3.0675679931663935,9.269817168761685,0.099901009801
38000,1.6228540592714803e-05,1.4492485351513736e-05,5.01539234040024e-07,9.37485265476555e-08,1.997424260706547e-06,5.835872989743468,10.0,0.09010000891000902
39000,3.2407743752779264e-05,1.368114398221761e-05,3.504036495807083e-07,1.782827640816506e-06,1.2206843470351098e-06,5.661918117797302,9.99999999772252,0.010008019899999108
