epoch,total,pde,phi,pi,bc,lambda_phi,lambda_pi,lambda_bc
1,1.3842289025787866,0.09437357482834977,0.9256457292174705,0.13617690528021986,2.280326932527464,0.31181262274150257,2.2729234873991793,0.1
1000,0.02146225401128557,0.0015870762608461435,0.003916986358994051,0.00022420915932311265,0.00840470540136893,1.0909868412021768,5.0,0.099999109
2000,0.006254556556729746,0.0014256161838549267,0.0016350746312747575,4.3856742297927466e-05,0.0012747893967363193,1.1375670043374448,5.0,0.0910899999910811
3000,0.0017159439109482638,0.000879492451293912,0.0003984984601945219,8.436441325148553e-05,3.192435842030209e-05,2.0916452241082695,5.0,0.010891089901981088
4000,0.0018077521553674899,0.0007565757853237143,0.00014111247125981168,0.00011857937597367283,4.037509882318784e-05,4.840139529340928,4.485060934943821,0.010899999910899998
5000,0.0008534600298088293,0.0005128239634771509,9.361664524805824e-05,3.063267522400894e-05,0.00012471538765381835,1.545505326631034,5.0,0.1
6000,0.004671023394401979,0.0013431444428277394,0.0016507584681110356,4.21999181608124e-05,0.0042959501367932145,0.983926175038545,5.0,0.0910899999910811
7000,0.0004906734746470538,0.0004074629101239269,2.8426294239277662e-05,6.624309528961159e-06,6.989165974765492e-06,1.481489817829214,5.0,0.001
8000,0.00047620917910845204,0.00037235726864955657,6.7920111919240375e-06,1.6537180702677174e-05,1.0772452062345766e-05,4.811472314983839,5.0,0.001
9000,0.0004762840507556254,0.00036996320006343317,1.1140216597424483e-05,5.984200984608295e-06,0.0006775857519346814,3.5455297960797925,5.0,0.09901098910890199
10000,0.000893555152356503,0.0005997026201984159,6.040521103550129e-05,4.132232368716883e-05,7.336704819616745e-05,4.398003393455105,5.0,0.010891089108910899
11000,0.00047975457231091246,0.00027700454385824486,9.962559023533751e-06,3.0479175153806204e-05,2.363038023240174e-05,3.1818572876498914,5.0,0.0999999999108902
12000,0.0002665781774225264,0.00023546257725914953,6.660949061772973e-06,4.105417994762723e-06,3.749163461904127e-05,3.6244273935800684,5.0,0.010890198901989018
13000,0.00029225641888551033,0.00021216274009324172,5.864815761534653e-06,1.3956970239874443e-05,2.6597693165193727e-06,3.4027579496877713,5.0,0.0019891089109
14000,0.0003468032907488,0.00023555062586396347,5.893350270608254e-06,1.5486329728912157e-05,5.251816910666565e-05,4.98477009656256,5.0,0.010899999108901987
15000,0.0001836136365423777,0.00015347308306586164,3.2199627883993936e-06,4.184147674080641e-06,7.339650495847471e-06,3.957321935975572,5.0,0.001
16000,0.00011464096696762316,0.00010432650793089666,2.8021126897246524e-06,4.0702370336970483e-07,1.0694013939716478e-05,4.791311305304935,5.0,0.0910891089910899
17000,0.00010943076882944031,8.592913637450457e-05,1.8623856498108213e-06,3.0870720165856447e-06,2.4869953294291462e-06,4.919774314342923,5.0,0.010890198901989107
18000,0.00027940733709920225,8.750568177050451e-05,4.611778456967193e-06,3.68193777725321e-05,1.829829479823818e-05,1.9175094125796424,4.9789151722241565,0.0901989999999902
19000,0.0002827078920315171,0.0001165614044968047,2.052920982826959e-05,8.018493132486021e-06,0.0003011071642923584,2.1198681175672847,5.0,0.0999108999999911
20000,7.08301703791362e-05,6.120959602375084e-05,1.6034380865402438e-06,5.859725043894113e-07,1.447087092191475e-06,4.908256876205478,5.0,0.010890109801981088
21000,7.460151200315686e-05,5.642085668954158e-05,1.5520210713510653e-06,2.0339242751954416e-06,3.4261914519825416e-06,3.0075735511413906,5.0,0.099901989108109
22000,5.540271820258288e-05,4.8743483748511996e-05,1.6016869178809792e-06,4.5438940573273024e-07,2.8279018594913068e-06,4.773567048002888,5.0,0.0010980198108010099
23000,6.506556892587764e-05,4.922251304303819e-05,2.577134002179669e-06,1.8429363690089314e-06,7.491258602489542e-06,1.296323400152887,5.0,0.09901981080109802
24000,4.658264391101302e-05,3.805341476416114e-05,1.8471648235210666e-06,1.0502533067734302e-06,1.1641620162120317e-06,2.4791617194071804,5.0,0.010810801000000899
25000,4.196092100900111e-05,3.406431949180769e-05,1.5157589973641346e-06,6.513839454957661e-07,1.542060856431612e-06,2.162842124251952,5.0,0.010891080108910097
26000,4.6800084822610117e-05,3.4351340824810076e-05,1.658387840493839e-06,1.3647421085713113e-06,2.980846056971918e-06,3.7911808249737753,5.0,0.0999108010981089
27000,6.566313229578483e-05,3.699104811023528e-05,3.073670601847104e-06,1.8606017491984786e-06,4.8937904129746734e-05,2.399185619027398,5.0,0.0999019891089911
28000,3.3624855939454346e-05,2.6271148441848758e-05,1.1522332567096418e-06,9.157240402150577e-07,2.627758166438093e-05,3.4584090146916635,5.0,0.09019890198910892
29000,3.839290806493033e-05,2.7799573117608817e-05,1.3421935918879196e-06,3.3326372643263216e-07,2.6830979243888646e-05,2.479243148602609,5.0,0.099999991089902
30000,3.9545048541917923e-05,2.407208981546942e-05,1.1266007544926743e-06,2.270701858271748e-06,4.457255366507421e-06,2.8506942958605226,5.0,0.09910810899108911
31000,4.953160742197388e-05,3.156020875457167e-05,1.6584940787674773e-06,1.5418252802775524e-06,2.1361960091156903e-05,3.9400033878628475,5.0,0.09999999999999992
32000,5.422118687874312e-05,2.7921232130377412e-05,1.1052402431879395e-06,4.086404799516041e-06,1.408992450841111e-05,4.90343725111396,5.0,0.09999991089108912
33000,2.892467337773001e-05,2.2045487808989725e-05,1.0008116482797393e-06,3.985869711821426e-07,1.1861059145521799e-05,2.8871324245163397,5.0,0.09901989999901992
34000,2.2028350232119293e-05,1.635919625611803e-05,7.101735687332253e-07,4.098985518908037e-07,1.2395485501517056e-06,4.992388209691894,5.0,0.010810890198019889
35000,3.135839595662333e-05,1.5623820357787475e-05,6.369642187615019e-07,2.509108362007735e-06,5.428998191913811e-07,4.99980828735941,5.0,0.0019008910891089017
36000,2.996050572871429e-05,1.9361708237426618e-05,1.470673793102967e-06,7.429068281326875e-07,1.3917696530757996e-06,2.689865673597775,5.0,0.001
37000,0.0001227461620617447,2.9211291341055673e-05,2.039174646653537e-05,1.4070823110781853e-06,5.427176297937366e-07,1.2590688097064353,5.0,0.001
